"id","label","counttotal","treedepth"
"business-and-commerce","Business and commerce",0,"0"
"business-and-industry","Business and industry",1841,"1"
"business-and-management","Business and management",0,"1"
"business-strategy-in-drug-development","Business strategy in drug development",118,"2"
"c3-photosynthesis","C3 photosynthesis",1,"3"
"c4-photosynthesis","C4 photosynthesis",0,"3"
"ca2-imaging","Ca2+ imaging",6,"4 3"
"cadherins","Cadherins",12,"3"
"caecum","Caecum",0,"4"
"caenorhabditis-elegans","Caenorhabditis elegans",29,"4"
"cajal-bodies","Cajal bodies",0,"3"
"calcification","Calcification",7,"4 5 3"
"calcitonin","Calcitonin",0,"4 3"
"calcium","Calcium",2,"4 3"
"calcium-and-phosphate-metabolic-disorders","Calcium and phosphate metabolic disorders",50,"3"
"calcium-and-vitamin-d","Calcium and vitamin D",56,"2"
"calcium-channels","Calcium channels",14,"4 3"
"calcium-signalling","Calcium signalling",34,"3"
"calcium-based-cement","Calcium-based cement",0,"4"
"calculus","Calculus",0,"4"
"cancer","Cancer",5257,"2 1"
"cancer-epidemiology","Cancer epidemiology",39,"2 3"
"cancer-epigenetics","Cancer epigenetics",26,"4 5 3"
"cancer-genetics","Cancer genetics",312,"4 2 3"
"cancer-genomics","Cancer genomics",255,"2 3"
"cancer-imaging","Cancer imaging",74,"2 3"
"cancer-immunotherapy","Cancer immunotherapy",129,"4 3"
"cancer-in-the-nervous-system","Cancer in the nervous system",8,"3"
"cancer-metabolism","Cancer metabolism",97,"2 3"
"cancer-microenvironment","Cancer microenvironment",235,"2 3"
"cancer-models","Cancer models",246,"2 3"
"cancer-of-unknown-primary","Cancer of unknown primary",2,"2 3"
"cancer-prevention","Cancer prevention",54,"2 3"
"cancer-screening","Cancer screening",51,"2 3"
"cancer-stem-cells","Cancer stem cells",147,"2 3"
"cancer-therapeutic-resistance","Cancer therapeutic resistance",95,"4 3"
"cancer-therapy","Cancer therapy",1088,"2 3"
"carbohydrate-chemistry","Carbohydrate chemistry",10,"3"
"carbohydrates","Carbohydrates",49,"2 3"
"carbon-and-energy","Carbon and energy",32,"2"
"carbon-nanotubes-and-fullerenes","Carbon nanotubes and fullerenes",144,"3"
"cardiac-device-therapy","Cardiac device therapy",32,"2 3"
"cardiac-hypertrophy","Cardiac hypertrophy",6,"4 5 3"
"cardiac-regeneration","Cardiac regeneration",8,"3"
"cardiology","Cardiology",1028,"1"
"cardiomyopathies","Cardiomyopathies",37,"4 3"
"cardiovascular-biology","Cardiovascular biology",1022,"2"
"cardiovascular-diseases","Cardiovascular diseases",954,"2 3"
"cardiovascular-genetics","Cardiovascular genetics",8,"3"
"cardiovascular-models","Cardiovascular models",6,"3"
"careers","Careers",516,"2"
"caries-risk-assessment","Caries risk assessment",0,"4"
"caries-sealants","Caries sealants",0,"4"
"carotid-artery-disease","Carotid artery disease",7,"4 5"
"carrier-proteins","Carrier proteins",2,"4 3"
"cartilage","Cartilage",16,"3"
"cartilage-development","Cartilage development",8,"2"
"cas9-endonuclease","Cas9 endonuclease",14,"4"
"cat","Cat",0,"4"
"catalysis","Catalysis",380,"4 2 3"
"catalyst-synthesis","Catalyst synthesis",42,"4 5 3"
"catalytic-dna","Catalytic DNA",0,"4 3"
"catalytic-mechanisms","Catalytic mechanisms",17,"4 5 3"
"catalytic-rna","Catalytic RNA",5,"4 3"
"caveolae","Caveolae",0,"3"
"cd4-positive-t-cells","CD4-positive T cells",139,"4 6"
"cd8-positive-t-cells","CD8-positive T cells",35,"4 6"
"cell-adhesion","Cell adhesion",165,"2"
"cell-biology","Cell biology",3476,"1"
"cell-culture","Cell culture",41,"3"
"cell-death","Cell death",396,"2"
"cell-death-and-immune-response","Cell death and immune response",41,"2"
"cell-death-in-the-nervous-system","Cell death in the nervous system",35,"2"
"cell-delivery","Cell delivery",9,"2"
"cell-division","Cell division",361,"2"
"cell-fate","Cell fate",2,"3"
"cell-fate-and-cell-lineage","Cell fate and cell lineage",26,"3"
"cell-growth","Cell growth",112,"2 3"
"cell-invasion","Cell invasion",16,"3"
"cell-lineage","Cell lineage",21,"3"
"cell-migration","Cell migration",214,"2"
"cell-polarity","Cell polarity",43,"2"
"cell-proliferation","Cell proliferation",19,"2"
"cell-signalling","Cell signalling",782,"2"
"cell-therapies","Cell therapies",58,"3"
"cell-transplantation","Cell transplantation",5,"5"
"cell-type-diversity","Cell type diversity",8,"3"
"cell-vaccines","Cell vaccines",4,"4 3"
"cell-wall","Cell wall",5,"3"
"cell-cycle-exit","Cell-cycle exit",6,"3"
"cell-cycle-proteins","Cell-cycle proteins",7,"4 3"
"cells","Cells",284,"2"
"cellular-imaging","Cellular imaging",156,"2"
"cellular-immunity","Cellular immunity",140,"4 3"
"cellular-microbiology","Cellular microbiology",166,"2 3"
"cellular-motility","Cellular motility",23,"3"
"cellular-neuroscience","Cellular neuroscience",252,"2"
"cellular-noise","Cellular noise",6,"2"
"cellular-signalling-networks","Cellular signalling networks",23,"2"
"cell-particle-interactions","Cell–particle interactions",9,"3"
"cementum","Cementum",0,"3"
"bone-remodelling-central-control","Central control of bone remodelling",18,"3"
"central-nervous-system","Central nervous system",64,"3"
"central-nervous-system-infections","Central nervous system infections",2,"3"
"central-pattern-generators","Central pattern generators",4,"3"
"central-tolerance","Central tolerance",4,"4 5"
"centromeres","Centromeres",12,"3"
"centrosome","Centrosome",12,"3"
"ceramics","Ceramics",26,"3"
"cerebellum","Cerebellum",13,"3"
"cerebrospinal-fluid-proteins","Cerebrospinal fluid proteins",2,"4 3"
"cerebrovascular-disorders","Cerebrovascular disorders",91,"4 5 3"
"ceroid","Ceroid",0,"4 3"
"cervical-cancer","Cervical cancer",21,"4 3"
"channelopathies","Channelopathies",4,"3"
"chaperone-mediated-autophagy","Chaperone-mediated autophagy",4,"4 3"
"chaperones","Chaperones",37,"4 3"
"characterization-and-analytical-techniques","Characterization and analytical techniques",111,"3"
"checkpoint-signalling","Checkpoint signalling",6,"3"
"checkpoints","Checkpoints",12,"3"
"chemical-biology","Chemical biology",3762,"2 1"
"chemical-bonding","Chemical bonding",27,"4 3"
"chemical-ecology","Chemical ecology",16,"2 3"
"chemical-education","Chemical education",6,"3"
"chemical-engineering","Chemical engineering",100,"2 3"
"chemical-genetics","Chemical genetics",14,"2 3"
"chemical-libraries","Chemical libraries",8,"3"
"chemical-modification","Chemical modification",50,"2 3"
"chemical-physics","Chemical physics",168,"2 3"
"chemical-safety","Chemical safety",3,"3"
"chemical-synthesis","Chemical synthesis",42,"2 3"
"chemical-tools","Chemical tools",102,"2 3"
"cheminformatics","Cheminformatics",10,"2 3"
"chemistry","Chemistry",9298,"1"
"chemistry-publishing","Chemistry publishing",6,"3"
"chemokines","Chemokines",75,"4 2 3"
"chemoprevention","Chemoprevention",4,"4"
"chemotaxis","Chemotaxis",12,"3"
"chemotherapy","Chemotherapy",150,"4 3"
"chimaerism","Chimaerism",0,"4"
"chlamydomonas-reinhardtii","Chlamydomonas reinhardtii",0,"4"
"chloride-channels","Chloride channels",5,"4 3"
"chloroplasts","Chloroplasts",8,"3"
"cholecystitis","Cholecystitis",1,"5"
"choledocholithiasis","Choledocholithiasis",1,"5"
"cholelithiasis","Cholelithiasis",0,"5"
"cholestasis","Cholestasis",3,"5"
"chondrocytes","Chondrocytes",22,"3"
"chromatin","Chromatin",251,"4 2 3"
"chromatin-analysis","Chromatin analysis",20,"3"
"chromatin-immunoprecipitation","Chromatin immunoprecipitation",27,"3"
"chromatin-remodelling","Chromatin remodelling",32,"4 5 3"
"chromatin-structure","Chromatin structure",33,"4 5 3"
"chromatography","Chromatography",6,"3"
"chromosome-abnormality","Chromosome abnormality",17,"3"
"chromosome-condensation","Chromosome condensation",5,"3"
"chromosome-conformation-capture-based-methods","Chromosome conformation capture-based methods",6,"3"
"chromosome-segregation","Chromosome segregation",30,"3"
"chromosomes","Chromosomes",127,"2"
"chronic-inflammation","Chronic inflammation",73,"3"
"chronic-kidney-disease","Chronic kidney disease",195,"3"
"chronic-lymphocytic-leukaemia","Chronic lymphocytic leukaemia",37,"4 5"
"chronic-myeloid-leukaemia","Chronic myeloid leukaemia",22,"4 5"
"chronic-obstructive-pulmonary-disease","Chronic obstructive pulmonary disease",0,"3"
"chronic-pain","Chronic pain",16,"4 3"
"chronic-pancreatitis","Chronic pancreatitis",10,"5"
"cilia","Cilia",15,"3"
"ciliogenesis","Ciliogenesis",11,"2"
"circadian-mechanisms","Circadian mechanisms",12,"3"
"circadian-regulation","Circadian regulation",13,"3"
"circadian-rhythm-signalling-peptides-and-proteins","Circadian rhythm signalling peptides and proteins",4,"4 3"
"circadian-rhythms","Circadian rhythms",40,"2"
"circadian-rhythms-and-sleep","Circadian rhythms and sleep",82,"2"
"circadian-rhythms-in-plants","Circadian rhythms in plants",0,"3"
"circular-dichroism","Circular dichroism",3,"4 3"
"circulation","Circulation",326,"2"
"civil-engineering","Civil engineering",14,"2 3"
"class-switch-recombination","Class switch recombination",4,"4 3"
"classical-conditioning","Classical conditioning",9,"3"
"classification-and-taxonomy","Classification and taxonomy",14,"2"
"cleft-lip-and-palate","Cleft lip and palate",0,"4"
"climate-and-earth-system-modelling","Climate and Earth system modelling",107,"3"
"climate-change","Climate change",711,"2"
"climate-sciences","Climate sciences",2143,"1"
"climate-change-adaptation","Climate-change adaptation",49,"2"
"climate-change-ecology","Climate-change ecology",155,"2"
"climate-change-impacts","Climate-change impacts",256,"2 3"
"climate-change-mitigation","Climate-change mitigation",123,"2 3"
"climate-change-policy","Climate-change policy",116,"2"
"clinical-epigenetics","Clinical epigenetics",40,"3"
"clinical-genetics","Clinical genetics",1026,"2"
"clinical-microbiology","Clinical microbiology",56,"2 3"
"clinical-pharmacology","Clinical pharmacology",10,"4 3"
"study-design","Clinical trial design",406,"2"
"clinical-trials","Clinical trials",324,"2 3"
"clonal-selection","Clonal selection",7,"4 3"
"cloning","Cloning",0,"3"
"clostridium-difficile","Clostridium difficile",12,"3"
"cns-cancer","CNS cancer",130,"2 3"
"coagulation-system","Coagulation system",7,"2"
"coarse-grained-models","Coarse-grained models",12,"3"
"coat-complexes","Coat complexes",5,"3"
"cochlea","Cochlea",10,"3"
"coeliac-disease","Coeliac disease",19,"4 3"
"coevolution","Coevolution",23,"2"
"cognitive-ageing","Cognitive ageing",31,"2"
"cognitive-control","Cognitive control",51,"3"
"cognitive-neuroscience","Cognitive neuroscience",312,"2"
"cohesion","Cohesion",3,"3"
"colipases","Colipases",0,"4 3"
"colitis","Colitis",3,"5"
"collapsing-glomerulopathy","Collapsing glomerulopathy",1,"4"
"collective-cell-migration","Collective cell migration",15,"3"
"colloids","Colloids",74,"4 3"
"colon","Colon",3,"4"
"colon-cancer","Colon cancer",27,"4 5 6"
"colonic-diseases","Colonic diseases",138,"4"
"colonoscopy","Colonoscopy",5,"4 2"
"colorectal-cancer","Colorectal cancer",135,"4 5 3"
"colorectal-surgery","Colorectal surgery",7,"4"
"colour-vision","Colour vision",5,"5 3"
"combination-drug-therapy","Combination drug therapy",44,"4"
"combinatorial-chemistry","Combinatorial chemistry",5,"3"
"combinatorial-libraries","Combinatorial libraries",7,"2 3"
"communicating-chemistry","Communicating chemistry",29,"3"
"communication","Communication",210,"2"
"communication-and-replication","Communication and replication",0,"2"
"communication-skills-in-dentistry","Communication skills in dentistry",0,"4"
"community-ecology","Community ecology",48,"2"
"comorbidities","Comorbidities",1,"2"
"comparative-genomic-hybridization","Comparative genomic hybridization",1,"3"
"comparative-genomics","Comparative genomics",59,"3"
"complement","Complement",6,"4 3"
"complement-cascade","Complement cascade",8,"2"
"complex-networks","Complex networks",185,"3"
"complexity","Complexity",13,"2"
"composite-resin","Composite resin",0,"4"
"composites","Composites",51,"3"
"computational-astrophysics","Computational astrophysics",13,"3"
"computational-biology-and-bioinformatics","Computational biology and bioinformatics",1751,"1"
"computational-biophysics","Computational biophysics",103,"2"
"computational-chemistry","Computational chemistry",64,"2 3"
"computational-methods","Computational methods",35,"3"
"computational-models","Computational models",131,"2"
